applicant_id,annual_income_usd,employment_duration_months,credit_risk_tier,fico_score,region_state,requested_amount_usd,requested_product_code,dti_pct,military_scra_flag,bankruptcy_last_7y_flag,preliminary_decision
APP-00001,142000,86,T1,782,CA,55000,PL-PRM-02,22.4,0,0,auto_review
APP-00002,98500,54,T2,712,TX,28000,PL-STD-01,31.2,0,0,auto_review
APP-00003,61200,28,T3,648,FL,15000,DCL-01,42.1,0,0,auto_review
APP-00004,38000,14,T4,598,GA,8000,PL-SUB-03,48.7,0,0,manual_review
APP-00005,29500,7,T5,542,OH,2500,CC-SEC-03,52.3,0,1,manual_review
APP-00006,155000,120,T1,798,NY,250000,HELOC-01,18.5,0,0,auto_review
APP-00007,87000,42,T2,695,IL,42000,AUTO-NEW-01,29.8,0,0,auto_review
APP-00008,52000,22,T3,635,AZ,12000,PL-STD-01,44.9,1,0,auto_review
APP-00009,45000,18,T4,610,CO,6500,MED-01,49.2,0,0,manual_review
APP-00010,118000,72,T1,758,WA,180000,MORT-CONV-01,35.4,0,0,auto_review
APP-00011,72500,36,T2,688,OR,32000,DCL-01,38.6,0,0,auto_review
APP-00012,55000,25,T3,655,NC,22000,AUTO-USED-02,41.3,0,0,auto_review
APP-00013,168000,144,T1,812,PA,500000,MORT-JMB-03,28.1,0,0,auto_review
APP-00014,82000,48,T2,720,MI,35000,STU-REFI-01,32.5,0,0,auto_review
APP-00015,41000,16,T4,592,NY,4500,CC-SEC-03,51.8,1,0,manual_review
APP-00016,135000,96,T1,772,MA,85000,AUTO-NEW-01,24.7,0,0,auto_review
APP-00017,68000,32,T2,702,FL,45000,DCL-01,36.2,0,0,auto_review
APP-00018,58500,26,T3,662,GA,18000,PL-STD-01,43.5,0,0,auto_review
APP-00019,34000,10,T5,555,IL,3000,CC-SEC-03,54.1,0,1,manual_review
APP-00020,92000,58,T2,715,TX,60000,HELOC-01,27.9,0,0,auto_review
APP-00021,125000,84,T1,768,AZ,120000,HELOAN-01,26.4,0,0,auto_review
APP-00022,49000,20,T3,628,CA,10000,CC-STD-02,45.7,0,0,manual_review
APP-00023,76000,40,T2,691,CO,30000,AUTO-REFI-03,33.8,0,0,auto_review
APP-00024,42500,15,T4,605,WA,5500,MED-01,47.9,0,0,manual_review
APP-00025,148000,108,T1,788,OR,220000,MORT-CONV-01,29.3,0,0,auto_review
APP-00026,63000,30,T3,672,NC,25000,AUTO-USED-02,40.6,0,0,auto_review
APP-00027,89000,50,T2,708,PA,55000,SBL-STD-01,31.7,0,0,auto_review
APP-00028,31000,8,T5,538,MI,2000,CC-SEC-03,53.4,0,0,manual_review
APP-00029,102000,66,T1,745,NY,75000,PL-PRM-02,25.6,0,0,auto_review
APP-00030,57000,24,T3,644,MA,16000,DCL-01,44.2,1,0,auto_review
APP-00031,44000,17,T4,615,FL,7500,PL-SUB-03,48.3,0,0,manual_review
APP-00032,115000,78,T1,762,GA,150000,SOLAR-01,27.2,0,0,auto_review
APP-00033,79000,44,T2,698,IL,40000,AUTO-NEW-01,34.1,0,0,auto_review
APP-00034,53500,23,T3,658,TX,14000,PL-STD-01,42.8,0,0,auto_review
APP-00035,36000,12,T5,562,AZ,3500,CC-SEC-03,51.2,0,1,manual_review
APP-00036,132000,90,T1,775,CA,95000,PL-PRM-02,23.9,0,0,auto_review
APP-00037,71000,34,T2,685,CO,28000,DCL-01,37.4,0,0,auto_review
APP-00038,48000,19,T3,632,WA,11000,CC-STD-02,44.6,0,0,manual_review
APP-00039,40000,13,T4,588,OR,5000,MED-01,49.8,1,0,manual_review
APP-00040,158000,126,T1,795,NC,650000,MORT-JMB-03,28.7,0,0,auto_review
APP-00041,85000,46,T2,718,PA,50000,STU-REFI-01,32.1,0,0,auto_review
APP-00042,60000,27,T3,668,MI,20000,AUTO-USED-02,41.9,0,0,auto_review
APP-00043,33500,9,T5,548,NY,2500,CC-SEC-03,52.7,0,0,manual_review
APP-00044,108000,70,T1,752,MA,70000,PL-PRM-02,26.8,0,0,auto_review
APP-00045,66000,31,T2,704,FL,32000,AUTO-NEW-01,35.5,0,0,auto_review
APP-00046,51000,21,T3,640,GA,13000,PL-STD-01,43.7,0,0,auto_review
APP-00047,43000,16,T4,602,IL,6000,PL-SUB-03,48.1,0,0,manual_review
APP-00048,140000,102,T1,780,TX,200000,HELOC-01,25.3,0,0,auto_review
APP-00049,74000,38,T2,689,AZ,38000,DCL-01,36.9,0,0,auto_review
APP-00050,56000,25,T3,652,CA,17000,AUTO-USED-02,42.5,1,0,auto_review
APP-00051,120000,82,T1,765,CO,110000,HELOAN-01,27.5,0,0,auto_review
APP-00052,81000,45,T2,712,WA,48000,SBL-STD-01,33.2,0,0,auto_review
APP-00053,47000,18,T3,625,OR,9500,CC-STD-02,45.3,0,0,manual_review
APP-00054,38500,11,T4,595,NC,4500,MED-01,50.6,0,1,manual_review
APP-00055,165000,132,T1,805,PA,800000,MORT-JMB-03,29.8,0,0,auto_review
APP-00056,69000,33,T2,696,MI,34000,AUTO-REFI-03,35.7,0,0,auto_review
APP-00057,54000,22,T3,646,NY,15000,DCL-01,43.1,0,0,auto_review
APP-00058,32500,8,T5,545,MA,2200,CC-SEC-03,53.9,0,0,manual_review
APP-00059,145000,110,T1,785,FL,270000,MORT-CONV-01,26.1,0,0,auto_review
APP-00060,77000,,,,,,,,,,
