application_id,applicant_id,as_of_date,credit_history_status,credit_history_months_observed,max_days_overdue,delinquent_event_count,total_outstanding_debt,total_overdue_amount,debt_to_income_ratio,overdue_amount_to_income,delinquency_points,debt_burden_points,risk_tier_score,risk_tier,risk_tier_basis,risk_tier_ruleset_version
LA100000,APP100000,2026-06-15,ESTABLISHED,22,0.0,0,72779.48,0.0,0.4939,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100001,APP100001,2025-05-08,ESTABLISHED,7,0.0,0,87759.16,0.0,0.5574,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100002,APP100002,2026-04-14,LIMITED_HISTORY,4,42.0,2,58947.99,3490.23,0.5132,0.0304,2,2,6.0,T4,LIMITED_HISTORY,1.0
LA100003,APP100003,2025-03-03,ESTABLISHED,22,0.0,0,157625.82,0.0,1.1389,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100004,APP100004,2025-04-01,ESTABLISHED,23,0.0,0,121327.47,0.0,0.9234,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100005,APP100005,2025-03-26,LIMITED_HISTORY,2,0.0,0,107805.67,0.0,0.4444,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100006,APP100006,2024-03-03,ESTABLISHED,11,0.0,0,109009.35,0.0,1.035,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100007,APP100007,2026-07-19,LIMITED_HISTORY,1,0.0,0,9771.97,0.0,0.1791,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100008,APP100008,2026-01-31,ESTABLISHED,17,22.0,2,108054.25,5365.93,0.6135,0.0305,1,2,5.0,T3,CREDIT_HISTORY,1.0
LA100009,APP100009,2024-03-01,ESTABLISHED,13,60.0,1,167068.62,28197.7,0.8212,0.1386,3,3,9.0,T5,CREDIT_HISTORY,1.0
LA100010,APP100010,2026-09-24,LIMITED_HISTORY,3,0.0,0,34919.67,0.0,0.2264,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100011,APP100011,2026-11-23,ESTABLISHED,9,0.0,0,19753.05,0.0,0.2402,0.0,0,0,0.0,T1,CREDIT_HISTORY,1.0
LA100012,APP100012,2025-10-04,ESTABLISHED,8,0.0,0,31802.91,0.0,0.5185,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100013,APP100013,2025-09-02,ESTABLISHED,24,0.0,0,25548.59,0.0,0.3349,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100014,APP100014,2025-04-30,ESTABLISHED,12,0.0,0,27888.15,0.0,0.4255,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100015,APP100015,2026-08-29,ESTABLISHED,19,0.0,0,15583.93,0.0,0.2189,0.0,0,0,0.0,T1,CREDIT_HISTORY,1.0
LA100016,APP100016,2025-08-25,ESTABLISHED,8,0.0,0,43250.49,0.0,0.3037,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100017,APP100017,2024-02-03,LIMITED_HISTORY,4,0.0,0,50540.79,0.0,0.2372,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100018,APP100018,2026-06-16,ESTABLISHED,7,0.0,0,63297.43,0.0,0.6976,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100019,APP100019,2026-10-03,ESTABLISHED,9,0.0,0,147753.09,0.0,0.9096,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100020,APP100020,2026-06-20,ESTABLISHED,22,34.0,2,86474.76,10140.09,1.579,0.1852,2,3,8.0,T5,CREDIT_HISTORY,1.0
LA100021,APP100021,2026-10-25,ESTABLISHED,24,0.0,0,188870.28,0.0,0.944,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100022,APP100022,2025-04-16,ESTABLISHED,6,0.0,0,58776.7,0.0,0.4469,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100023,APP100023,2026-04-09,LIMITED_HISTORY,3,0.0,0,44412.61,0.0,0.4611,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100024,APP100024,2024-09-26,ESTABLISHED,16,21.0,1,16518.85,1492.65,0.2861,0.0258,1,1,4.0,T3,CREDIT_HISTORY,1.0
LA100025,APP100025,2026-11-08,ESTABLISHED,14,0.0,0,125839.99,0.0,0.645,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100026,APP100026,2026-07-31,LIMITED_HISTORY,3,0.0,0,15207.28,0.0,0.1532,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100027,APP100027,2025-06-04,LIMITED_HISTORY,3,60.0,1,29273.26,1548.71,0.4673,0.0247,3,1,6.0,T4,LIMITED_HISTORY,1.0
LA100028,APP100028,2024-01-04,ESTABLISHED,24,0.0,0,85327.28,0.0,1.1238,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100029,APP100029,2026-09-14,ESTABLISHED,13,0.0,0,162534.62,0.0,1.1003,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100030,APP100030,2026-08-15,ESTABLISHED,23,120.0,1,79068.8,17260.83,0.4664,0.1018,5,1,9.0,T5,CREDIT_HISTORY,1.0
LA100031,APP100031,2025-02-03,LIMITED_HISTORY,5,0.0,0,48963.27,0.0,0.3418,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100032,APP100032,2024-06-16,ESTABLISHED,8,0.0,0,160772.61,0.0,0.6469,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100033,APP100033,2025-08-14,ESTABLISHED,17,0.0,0,87157.44,0.0,0.4624,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100034,APP100034,2026-12-09,ESTABLISHED,17,0.0,0,177669.11,0.0,0.8984,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100035,APP100035,2026-10-11,NO_HISTORY,0,,0,,,,,0,0,,T3,NO_CREDIT_HISTORY,1.0
LA100036,APP100036,2025-07-27,LIMITED_HISTORY,2,90.0,6,52151.34,10860.57,0.6785,0.1413,4,2,9.0,T5,LIMITED_HISTORY,1.0
LA100037,APP100037,2024-04-05,ESTABLISHED,24,0.0,0,213797.04,0.0,1.0335,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100038,APP100038,2024-09-03,ESTABLISHED,19,0.0,0,167660.65,0.0,0.8683,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100039,APP100039,2024-08-02,NO_HISTORY,0,,0,,,,,0,0,,T3,NO_CREDIT_HISTORY,1.0
LA100040,APP100040,2026-10-27,ESTABLISHED,24,0.0,0,126954.93,0.0,0.5157,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100041,APP100041,2026-12-31,ESTABLISHED,8,0.0,0,81864.38,0.0,0.4557,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100042,APP100042,2025-08-02,ESTABLISHED,7,0.0,0,22756.48,0.0,0.4288,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100043,APP100043,2024-04-18,ESTABLISHED,7,0.0,0,61720.37,0.0,0.5241,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100044,APP100044,2024-03-28,ESTABLISHED,15,0.0,0,39399.95,0.0,0.511,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100045,APP100045,2026-01-14,ESTABLISHED,7,0.0,0,77133.36,0.0,0.4641,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100046,APP100046,2024-11-14,ESTABLISHED,21,0.0,0,107084.39,0.0,1.0497,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100047,APP100047,2026-11-04,LIMITED_HISTORY,2,0.0,0,92903.01,0.0,0.3961,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100048,APP100048,2026-01-16,ESTABLISHED,21,0.0,0,63980.36,0.0,0.5819,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100049,APP100049,2025-06-29,ESTABLISHED,9,23.0,1,27476.0,766.86,0.5581,0.0156,1,2,4.0,T3,CREDIT_HISTORY,1.0
LA100050,APP100050,2025-12-06,ESTABLISHED,17,133.0,1,40644.73,3813.59,0.4872,0.0457,5,1,8.0,T5,CREDIT_HISTORY,1.0
LA100051,APP100051,2024-12-27,ESTABLISHED,22,0.0,0,265741.81,0.0,1.0643,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100052,APP100052,2026-10-22,ESTABLISHED,22,0.0,0,87791.94,0.0,0.4989,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100053,APP100053,2025-03-21,ESTABLISHED,6,0.0,0,86914.02,0.0,0.4078,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100054,APP100054,2026-09-16,ESTABLISHED,15,37.0,1,146164.75,8152.15,0.7048,0.0393,2,2,6.0,T4,CREDIT_HISTORY,1.0
LA100055,APP100055,2025-04-27,ESTABLISHED,17,90.0,2,129828.7,11743.35,0.6192,0.056,4,2,9.0,T5,CREDIT_HISTORY,1.0
LA100056,APP100056,2025-07-25,ESTABLISHED,14,0.0,0,32800.73,0.0,0.316,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100057,APP100057,2025-06-24,LIMITED_HISTORY,2,0.0,0,37167.6,0.0,0.2409,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100058,APP100058,2025-09-25,ESTABLISHED,10,21.0,1,235042.42,15833.31,0.989,0.0666,1,3,7.0,T4,CREDIT_HISTORY,1.0
LA100059,APP100059,2025-08-15,ESTABLISHED,7,0.0,0,255133.73,0.0,1.0788,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100060,APP100060,2025-07-03,ESTABLISHED,8,0.0,0,95251.55,0.0,0.6333,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100061,APP100061,2024-11-27,ESTABLISHED,8,0.0,0,28324.13,0.0,0.2685,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100062,APP100062,2025-09-16,LIMITED_HISTORY,3,15.0,3,174580.88,20994.33,0.7459,0.0897,1,2,6.0,T4,LIMITED_HISTORY,1.0
LA100063,APP100063,2026-08-05,ESTABLISHED,14,0.0,0,37254.43,0.0,0.3559,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100064,APP100064,2025-09-16,LIMITED_HISTORY,4,0.0,0,73692.22,0.0,0.4207,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100065,APP100065,2026-06-26,ESTABLISHED,6,30.0,2,53591.69,1912.36,0.428,0.0153,2,1,4.0,T3,CREDIT_HISTORY,1.0
LA100066,APP100066,2024-04-13,ESTABLISHED,22,0.0,0,52988.63,0.0,1.0214,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100067,APP100067,2025-10-17,ESTABLISHED,24,0.0,0,107872.9,0.0,0.6011,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100068,APP100068,2025-10-30,ESTABLISHED,8,60.0,1,107332.1,7659.09,0.6404,0.0457,3,2,7.0,T4,CREDIT_HISTORY,1.0
LA100069,APP100069,2026-02-06,ESTABLISHED,18,0.0,0,43723.1,0.0,0.4986,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100070,APP100070,2024-11-01,ESTABLISHED,17,30.0,3,19774.75,1070.43,0.5261,0.0285,2,2,6.0,T4,CREDIT_HISTORY,1.0
LA100071,APP100071,2026-09-13,LIMITED_HISTORY,4,45.0,1,63325.07,8764.56,0.4582,0.0634,2,1,6.0,T4,LIMITED_HISTORY,1.0
LA100072,APP100072,2026-02-05,ESTABLISHED,17,0.0,0,72491.43,0.0,0.5639,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100073,APP100073,2024-08-08,ESTABLISHED,23,0.0,0,58058.52,0.0,0.314,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100074,APP100074,2026-05-13,ESTABLISHED,21,60.0,1,125486.82,20133.2,0.8075,0.1296,3,3,9.0,T5,CREDIT_HISTORY,1.0
LA100075,APP100075,2025-09-27,ESTABLISHED,6,0.0,0,121683.72,0.0,0.535,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100076,APP100076,2026-08-13,ESTABLISHED,16,0.0,0,50583.79,0.0,0.7328,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100077,APP100077,2025-03-29,ESTABLISHED,8,60.0,3,220891.24,11181.27,1.2361,0.0626,3,3,9.0,T5,CREDIT_HISTORY,1.0
LA100078,APP100078,2026-02-22,ESTABLISHED,24,0.0,0,72663.2,0.0,0.7813,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100079,APP100079,2025-01-09,LIMITED_HISTORY,4,15.0,1,36748.21,1575.3,0.3203,0.0137,1,1,3.0,T2,LIMITED_HISTORY,1.0
