event_id,applicant_id,event_date,prior_tier,new_tier,prior_fico,new_fico,tier_changed_flag,bureau_source,event_status,event_reason
EVT-000001,APP-00001,2024-02-14,T1,T1,780,782,0,Experian,completed,origination
EVT-000002,APP-00001,2024-08-22,T1,T1,782,785,0,Equifax,soft_pull,periodic_review
EVT-000003,APP-00001,2025-03-10,T1,T1,785,779,0,TransUnion,completed,rate_repricing
EVT-000004,APP-00002,2024-03-05,T2,T2,708,712,0,Experian,hard_pull,origination
EVT-000005,APP-00002,2024-11-18,T2,T1,712,742,1,Equifax,completed,limit_increase_request
EVT-000006,APP-00002,2025-06-24,T1,T1,742,748,0,TransUnion,soft_pull,periodic_review
EVT-000007,APP-00003,2024-01-19,T3,T3,644,648,0,Experian,hard_pull,origination
EVT-000008,APP-00003,2024-09-11,T3,T3,648,651,0,Equifax,soft_pull,periodic_review
EVT-000009,APP-00003,2025-04-02,T3,T2,651,682,1,TransUnion,completed,rate_repricing
EVT-000010,APP-00003,2026-01-14,T2,T2,682,689,0,Experian,soft_pull,periodic_review
EVT-000011,APP-00004,2024-04-08,T4,T4,595,598,0,Equifax,hard_pull,origination
EVT-000012,APP-00004,2024-12-15,T4,T5,598,572,1,TransUnion,completed,delinquency_trigger
EVT-000013,APP-00004,2025-08-22,T5,T4,572,584,1,Experian,completed,dispute_resolution
EVT-000014,APP-00005,2024-05-12,T5,T5,538,542,0,Equifax,hard_pull,origination
EVT-000015,APP-00005,2025-02-08,T5,T5,542,545,0,TransUnion,failed,periodic_review
EVT-000016,APP-00005,2025-11-19,T5,T4,545,585,1,Experian,completed,dispute_resolution
EVT-000017,APP-00006,2024-01-30,T1,T1,795,798,0,Equifax,hard_pull,origination
EVT-000018,APP-00006,2024-07-14,T1,T1,798,802,0,TransUnion,soft_pull,periodic_review
EVT-000019,APP-00006,2025-05-06,T1,T1,802,796,0,Experian,completed,rate_repricing
EVT-000020,APP-00007,2024-02-25,T2,T2,690,695,0,TransUnion,hard_pull,origination
EVT-000021,APP-00007,2024-10-08,T2,T2,695,701,0,Experian,soft_pull,limit_increase_request
EVT-000022,APP-00007,2025-07-19,T2,T2,701,708,0,Equifax,completed,periodic_review
EVT-000023,APP-00008,2024-03-16,T3,T3,630,635,0,Experian,hard_pull,origination
EVT-000024,APP-00008,2024-09-28,T3,T3,635,641,0,Equifax,soft_pull,periodic_review
EVT-000025,APP-00008,2025-06-11,T3,T4,641,612,1,TransUnion,completed,delinquency_trigger
EVT-000026,APP-00009,2024-04-22,T4,T4,605,610,0,Equifax,hard_pull,origination
EVT-000027,APP-00009,2025-01-15,T4,T4,610,614,0,TransUnion,soft_pull,periodic_review
EVT-000028,APP-00009,2025-09-03,T4,T3,614,628,1,Experian,completed,dispute_resolution
EVT-000029,APP-00010,2024-01-08,T1,T1,754,758,0,TransUnion,hard_pull,origination
EVT-000030,APP-00010,2024-08-14,T1,T1,758,762,0,Experian,soft_pull,periodic_review
EVT-000031,APP-00010,2025-04-25,T1,T1,762,755,0,Equifax,completed,rate_repricing
EVT-000032,APP-00011,2024-05-18,T2,T2,685,688,0,Experian,hard_pull,origination
EVT-000033,APP-00011,2025-02-22,T2,T2,688,693,0,Equifax,soft_pull,periodic_review
EVT-000034,APP-00011,2025-10-14,T2,T3,693,668,1,TransUnion,completed,delinquency_trigger
EVT-000035,APP-00012,2024-02-11,T3,T3,650,655,0,Equifax,hard_pull,origination
EVT-000036,APP-00012,2024-11-05,T3,T3,655,660,0,TransUnion,soft_pull,periodic_review
EVT-000037,APP-00012,2025-08-16,T3,T2,660,684,1,Experian,completed,rate_repricing
EVT-000038,APP-00013,2024-03-27,T1,T1,808,812,0,TransUnion,hard_pull,origination
EVT-000039,APP-00013,2024-12-11,T1,T1,812,815,0,Experian,soft_pull,periodic_review
EVT-000040,APP-00013,2025-09-24,T1,T1,815,810,0,Equifax,completed,rate_repricing
EVT-000041,APP-00014,2024-04-05,T2,T2,715,720,0,Experian,hard_pull,origination
EVT-000042,APP-00014,2025-01-19,T2,T1,720,745,1,Equifax,completed,limit_increase_request
