event_id,application_id,event_date,prior_tier,new_tier,prior_fico,new_fico,tier_changed_flag,bureau_source,event_status,event_reason
E0000001,APP100000,2025-06-29,T4,T4,671,673,False,TransUnion,Completed,Initial Application
E0000002,APP100000,2025-01-22,T3,T3,685,701,False,Experian,Completed,Fraud Verification
E0000003,APP100000,2025-05-09,T4,T4,651,662,False,Experian,Pending,Re-Pull After Correction
E0000004,APP100000,2026-01-27,T3,T4,682,673,True,Experian,Completed,Manual Review
E0000005,APP100000,2026-05-11,T4,T4,655,667,False,TransUnion,Completed,Fraud Verification
E0000006,APP100001,2024-01-11,T2,T2,795,780,False,TransUnion,Completed,Re-Pull After Correction
E0000007,APP100001,2024-09-02,T1,T1,816,812,False,Equifax,Completed,Initial Application
E0000008,APP100002,2025-02-26,T5,T5,421,438,False,Experian,Completed,Manual Review
E0000009,APP100002,2025-03-25,T5,T5,410,419,False,Experian,Completed,Manual Review
E0000010,APP100002,2025-07-01,T5,T5,401,421,False,Equifax,Completed,Manual Review
E0000011,APP100002,2025-09-17,T5,T5,396,416,False,Experian,Pending,Re-Pull After Correction
E0000012,APP100002,2025-10-29,T5,T5,409,416,False,TransUnion,Completed,Fraud Verification
E0000013,APP100003,2024-04-30,T3,T3,723,715,False,Equifax,Completed,Initial Application
E0000014,APP100003,2024-03-31,T3,T3,739,728,False,Equifax,Pending,Re-Pull After Correction
E0000015,APP100003,2024-06-16,T3,T3,706,696,False,Equifax,Completed,Re-Pull After Correction
E0000016,APP100003,2024-09-29,T3,T3,709,722,False,Equifax,Completed,Re-Pull After Correction
E0000017,APP100003,2025-01-19,T3,T3,701,692,False,Experian,Completed,Manual Review
E0000018,APP100004,2025-01-16,T1,T1,804,803,False,Experian,Completed,Manual Review
E0000019,APP100005,2024-02-19,T2,T2,770,754,False,TransUnion,Completed,Re-Pull After Correction
E0000020,APP100005,2024-01-05,T2,T2,750,762,False,TransUnion,Completed,Re-Pull After Correction
E0000021,APP100005,2024-07-12,T2,T3,740,722,True,TransUnion,Completed,Fraud Verification
E0000022,APP100005,2024-11-08,T2,T3,742,736,True,Experian,Completed,Fraud Verification
E0000023,APP100005,2025-02-23,T2,T3,746,734,True,Equifax,Completed,Manual Review
E0000024,APP100006,2023-03-04,T3,T3,721,734,False,Experian,Completed,Initial Application
E0000025,APP100006,2023-05-15,T2,T3,740,734,True,Equifax,Completed,Initial Application
E0000026,APP100006,2024-02-03,T3,T3,717,697,False,Equifax,Completed,Manual Review
E0000027,APP100007,2026-06-02,T2,T2,742,758,False,TransUnion,Completed,Fraud Verification
E0000028,APP100008,2024-08-25,T4,T4,655,671,False,TransUnion,Completed,Fraud Verification
E0000029,APP100008,2024-11-24,T4,T4,642,626,False,TransUnion,Completed,Manual Review
E0000030,APP100008,2025-03-05,T4,T4,663,659,False,TransUnion,Completed,Credit Refresh
E0000031,APP100008,2025-10-17,T4,T4,654,667,False,TransUnion,Completed,Re-Pull After Correction
E0000032,APP100008,2025-11-05,T4,T4,661,660,False,Experian,Pending,Re-Pull After Correction
E0000033,APP100009,2022-10-20,T4,T4,649,658,False,TransUnion,Pending,Initial Application
E0000034,APP100009,2023-05-20,T3,T3,683,685,False,TransUnion,Completed,Initial Application
E0000035,APP100009,2024-02-12,T4,T4,637,639,False,TransUnion,Completed,Re-Pull After Correction
E0000036,APP100010,2025-07-02,T4,T4,674,663,False,Experian,Completed,Manual Review
E0000037,APP100010,2026-02-09,T4,T4,655,673,False,Equifax,Completed,Credit Refresh
E0000038,APP100011,2026-03-16,T2,T2,751,767,False,TransUnion,Error,Manual Review
E0000039,APP100011,2026-10-07,T2,T2,748,756,False,Experian,Completed,Fraud Verification
E0000040,APP100012,2024-10-21,T2,T2,764,747,False,Equifax,Completed,Fraud Verification
E0000041,APP100012,2024-08-22,T2,T2,761,768,False,Equifax,Completed,Manual Review
E0000042,APP100013,2024-06-10,T2,T2,775,776,False,Experian,Completed,Re-Pull After Correction
E0000043,APP100013,2025-01-29,T2,T1,783,802,True,Experian,Completed,Initial Application
E0000044,APP100014,2023-12-02,T4,T4,650,636,False,TransUnion,Completed,Credit Refresh
E0000045,APP100014,2023-12-08,T3,T3,687,689,False,Equifax,Completed,Re-Pull After Correction
E0000046,APP100014,2024-07-25,T4,T3,679,682,True,TransUnion,Completed,Re-Pull After Correction
E0000047,APP100014,2025-04-15,T4,T4,660,673,False,Experian,Completed,Initial Application
