application_id,annual_income_usd,employment_duration_months,credit_risk_tier,fico_score,region_state,requested_amount_usd,product_code,dti_pct,military_scra_flag,bankruptcy_last_7y_flag,collections_past_12_months_flag,preliminary_decision,date
APP100000,"$147,346 ",223,T4,663,CA,"$390,382 ",MTG-CV,25.6,FALSE,TRUE,FALSE,Review,6/15/2026
APP100001,"$157,454 ",339,T2,796,TX,"$6,100 ",CRD-ST,20,FALSE,FALSE,FALSE,Approved,5/8/2025
APP100002,"$114,874 ",3,T5,421,CA,"$14,829 ",CRD-ST,38.7,FALSE,TRUE,TRUE,Declined,4/14/2026
APP100003,"$138,404 ",177,T3,715,FL,"$27,186 ",CRD-EL,35.9,FALSE,FALSE,FALSE,Review,3/3/2025
APP100004,"$131,395 ",245,T1,823,CA,"$253,335 ",MTG-FH,27,FALSE,FALSE,FALSE,Approved,4/1/2025
APP100005,"$242,612 ",27,T2,757,FL,"$838,786 ",MTG-CV,32,FALSE,FALSE,FALSE,Approved,3/26/2025
APP100006,"$105,320 ",49,T3,719,NC,"$37,548 ",AUT-TR,36.5,FALSE,FALSE,TRUE,Review,3/3/2024
APP100007,"$54,557 ",91,T2,742,FL,"$807,826 ",MTG-CV,20.5,FALSE,FALSE,FALSE,Approved,7/19/2026
APP100008,"$176,133 ",264,T4,644,CA,"$1,926,684 ",MTG-JB,25.1,FALSE,FALSE,TRUE,Review,1/31/2026
APP100009,"$203,456 ",220,T4,659,TX,"$1,582 ",CRD-SC,28.6,FALSE,FALSE,FALSE,Review,3/1/2024
APP100010,"$154,224 ",249,T4,652,NC,"$31,298 ",CRD-EL,24,FALSE,FALSE,FALSE,Review,9/24/2026
APP100011,"$82,236 ",59,T2,747,FL,"$23,795 ",CRD-EL,15.2,FALSE,FALSE,FALSE,Approved,11/23/2026
APP100012,"$61,335 ",275,T2,772,NC,"$29,011 ",AUT-TT,18.6,FALSE,TRUE,FALSE,Declined,10/4/2025
APP100013,"$76,294 ",80,T2,765,CA,"$2,629 ",CRD-SC,13.3,FALSE,FALSE,FALSE,Approved,9/2/2025
APP100014,"$65,539 ",296,T4,674,CA,"$66,991 ",AUT-TR,20.3,FALSE,FALSE,FALSE,Review,4/30/2025
APP100015,"$71,195 ",202,T1,849,CA,"$314,902 ",MTG-CV,15.3,FALSE,FALSE,FALSE,Approved,8/29/2026
APP100016,"$142,399 ",325,T2,751,TX,"$33,789 ",AUT-TT,13.7,FALSE,FALSE,FALSE,Approved,8/25/2025
APP100017,"$213,067 ",93,T2,766,NC,"$264,983 ",MTG-FH,20.5,FALSE,FALSE,FALSE,Approved,2/3/2024
APP100018,"$90,733 ",37,T2,776,NC,"$90,036 ",AUT-TR,26.5,FALSE,FALSE,FALSE,Approved,6/16/2026
APP100019,"$162,441 ",125,T4,654,CA,"$304,995 ",MTG-CV,35,FALSE,FALSE,FALSE,Review,10/3/2026
APP100020,"$54,765 ",80,T5,576,CA,"$1,775,521 ",MTG-JB,55,FALSE,TRUE,TRUE,Declined,6/20/2026
APP100021,"$200,064 ",265,T4,659,FL,"$564,581 ",MTG-CV,37.7,FALSE,FALSE,FALSE,Review,10/25/2026
APP100022,"$131,513 ",137,T3,717,CA,"$2,782 ",CRD-SC,24.6,FALSE,FALSE,FALSE,Review,4/16/2025
APP100023,"$96,319 ",94,T4,626,NC,"$44,861 ",AUT-TR,31,FALSE,FALSE,FALSE,Review,4/9/2026
APP100024,"$57,746 ",142,T1,822,NC,"$655,836 ",MTG-CV,14.4,FALSE,FALSE,FALSE,Approved,9/26/2024
APP100025,"$195,088 ",208,T3,707,TX,"$1,712,884 ",MTG-JB,20.5,FALSE,FALSE,FALSE,Review,11/8/2026
APP100026,"$99,278 ",158,T1,804,NC,"$25,141 ",AUT-SP,12.1,FALSE,FALSE,FALSE,Approved,7/31/2026
APP100027,"$62,648 ",193,T4,646,FL,"$44,508 ",AUT-TR,26.5,FALSE,FALSE,FALSE,Review,6/4/2025
APP100028,"$75,927 ",213,T3,684,FL,"$275,449 ",MTG-CV,35.4,FALSE,FALSE,FALSE,Review,1/4/2024
APP100029,"$147,718 ",165,T3,720,NC,"$610,043 ",MTG-CV,39,FALSE,FALSE,FALSE,Review,9/14/2026
APP100030,"$169,520 ",203,T3,733,CA,"$347,948 ",MTG-FH,16.3,FALSE,FALSE,FALSE,Review,8/15/2026
APP100031,"$143,245 ",23,T3,732,TX,"$1,834,643 ",MTG-JB,37.1,TRUE,FALSE,FALSE,Review,2/3/2025
APP100032,"$248,535 ",79,T3,690,TX,"$901,772 ",MTG-JB,39.8,FALSE,FALSE,FALSE,Review,6/16/2024
APP100033,"$188,491 ",199,T2,771,CA,"$401,944 ",MTG-CV,25.1,FALSE,FALSE,FALSE,Approved,8/14/2025
APP100034,"$197,763 ",281,T2,781,CA,"$27,071 ",AUT-TT,31.9,FALSE,FALSE,FALSE,Approved,12/9/2026
APP100035,"$218,223 ",5,T2,746,NC,"$179,100 ",MTG-FH,12.5,FALSE,FALSE,FALSE,Approved,10/11/2026
APP100036,"$76,863 ",145,T5,452,NC,"$449,875 ",MTG-FH,45.9,FALSE,FALSE,TRUE,Declined,7/27/2025
APP100037,"$206,860 ",243,T4,667,FL,"$1,318 ",CRD-SC,48.3,FALSE,FALSE,FALSE,Review,4/5/2024
APP100038,"$193,083 ",249,T3,712,CA,"$50,293 ",AUT-TT,25,FALSE,FALSE,FALSE,Review,9/3/2024
APP100039,"$202,786 ",58,T3,702,TX,"$2,103 ",CRD-SC,20.8,TRUE,FALSE,FALSE,Review,8/2/2024
APP100040,"$246,173 ",279,T3,721,CA,"$31,672 ",AUT-SP,32.9,FALSE,FALSE,FALSE,Review,10/27/2026
APP100041,"$179,643 ",215,T1,829,NC,"$1,854 ",CRD-SC,22.1,FALSE,FALSE,FALSE,Approved,12/31/2026
APP100042,"$53,071 ",12,T2,745,CA,"$12,955 ",AUT-TT,25.9,FALSE,FALSE,FALSE,Approved,8/2/2025
APP100043,"$117,768 ",57,T3,697,CA,"$50,683 ",AUT-TT,15.4,FALSE,FALSE,FALSE,Review,4/18/2024
APP100044,"$77,106 ",174,T2,768,TX,"$34,374 ",AUT-SP,27.6,FALSE,FALSE,FALSE,Approved,3/28/2024
